Timestamp,Type,Severity,Message
2025-12-09T06:36:02.553Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:36:02.553Z,HUNT,info,"🔍 Evaluando patrón... (76%)"
2025-12-09T06:36:01.340Z,HUNT,info,"🔍 Evaluando patrón... (76%)"
2025-12-09T06:36:00.729Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:36:00.120Z,HUNT,info,"🔍 Evaluando patrón... (76%)"
2025-12-09T06:35:58.899Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:58.899Z,HUNT,info,"🔍 Evaluando patrón... (77%)"
2025-12-09T06:35:57.677Z,HUNT,info,"🔍 Evaluando patrón... (77%)"
2025-12-09T06:35:57.064Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:55.242Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:55.242Z,HUNT,info,"🔍 Evaluando patrón... (76%)"
2025-12-09T06:35:54.024Z,HUNT,info,"🔍 Evaluando patrón... (76%)"
2025-12-09T06:35:53.413Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:51.555Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:51.555Z,HUNT,info,"🔍 Evaluando patrón... (77%)"
2025-12-09T06:35:50.305Z,HUNT,info,"🔍 Evaluando patrón... (77%)"
2025-12-09T06:35:49.665Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:47.703Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:47.703Z,HUNT,info,"🔍 Evaluando patrón... (77%)"
2025-12-09T06:35:46.616Z,SECTION,info,"🎵 Nueva sección: breakdown (Confianza: NaN%)"
2025-12-09T06:35:46.430Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:35:45.789Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:45.166Z,HUNT,warning,"👁️ Acechando... Beauty Score: 85% ¡Objetivo a la vista!"
2025-12-09T06:35:43.889Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:43.889Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:35:42.573Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:35:41.903Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:39.989Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:39.989Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:35:38.694Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:35:38.045Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:36.129Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:36.129Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:35:34.881Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:35:34.244Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:32.262Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:32.262Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:35:30.930Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:35:30.276Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:28.349Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:28.349Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:35:27.050Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:35:26.398Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:24.424Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:24.424Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:35:23.112Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:35:22.442Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:20.608Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:20.608Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:35:19.390Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:35:18.786Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:16.974Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:35:16.974Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
