═══════════════════════════════════════════════════════════════════════════════
  GOD EAR V3 — CALIBRATION DATA ANALYSIS
═══════════════════════════════════════════════════════════════════════════════


### METRIC: scaledKick
Category                        n     min      p25      med      p75      p90      p95      max      mean
─────────────────────────────────────────────────────────────────────────────────────────────────────────
Hi_Hats_Acoustic                 6    0.0007   0.0008   0.0011   0.0011   0.0014   0.0014   0.0014   0.0011
Hi_Hats_Sabian_B8               29    0.0003   0.0005   0.0015   0.0029   0.0047   0.0050   0.0057   0.0020
Hi_Hats_Zildjian_K_Hats         27    0.0008   0.0022   0.0033   0.0045   0.0055   0.0066   0.0144   0.0039
Kicks_Acoustic                  20    0.0836   0.0856   0.1127   0.1433   0.1685   0.2771   0.2920   0.1352
Kicks_Kes_Kick                   8    0.0349   0.0630   0.0998   0.1146   0.2875   0.2875   0.3075   0.1365
Kicks_Loose_Kick                 8    0.0572   0.0880   0.1345   0.1432   0.1494   0.1494   0.1560   0.1234
Snares_Acoustic                  4    0.0348   0.0348   0.0492   0.0513   0.0513   0.0513   0.0827   0.0545
Snares_Ludwig_A                 32    0.0017   0.0078   0.0945   0.1610   0.2218   0.3011   0.3327   0.1100
Snares_Ludwig_B                 32    0.0011   0.0068   0.1089   0.1636   0.2434   0.2725   0.3227   0.1109
Snares_Ludwig_C                 32    0.0021   0.0106   0.1207   0.1855   0.2546   0.2696   0.3613   0.1218
Snares_Piccolo_Sidestick        14    0.0046   0.0069   0.0101   0.0141   0.0151   0.0167   0.0272   0.0116
Snares_Sonor_Force_3000         40    0.0008   0.0016   0.0047   0.0444   0.0622   0.0760   0.1008   0.0225
Snares_Tama_Wood                56    0.0009   0.0047   0.0132   0.0215   0.0396   0.0528   0.0843   0.0179
Snares_Wooden_Piccolo           20    0.0184   0.0324   0.0407   0.0605   0.1184   0.1194   0.1236   0.0545
samples_Cymbals                 12    0.0043   0.0065   0.0170   0.0247   0.0257   0.0303   0.0322   0.0180
samples_bass_melodies           12    0.3121   0.4022   0.6006   0.7194   0.7295   0.7707   0.7988   0.5848
samples_kicks__techno           27    0.0981   0.4923   0.7531   0.8403   1.0205   1.0612   1.2069   0.6756
samples_kit_acustic             28    0.0022   0.0180   0.0911   0.2578   0.3219   0.4674   0.5406   0.1505
samples_pads_melodies           25    0.0209   0.0356   0.3815   0.6359   0.7247   0.7344   0.8383   0.3624

### METRIC: scaledHighs
Category                        n     min      p25      med      p75      p90      p95      max      mean
─────────────────────────────────────────────────────────────────────────────────────────────────────────
Hi_Hats_Acoustic                 6    0.0048   0.0049   0.0050   0.0069   0.0169   0.0169   0.0184   0.0095
Hi_Hats_Sabian_B8               29    0.0030   0.0084   0.0422   0.1301   0.1809   0.2020   0.2088   0.0698
Hi_Hats_Zildjian_K_Hats         27    0.0033   0.0104   0.0362   0.0554   0.0763   0.0828   0.1041   0.0379
Kicks_Acoustic                  20    0.0001   0.0008   0.0009   0.0029   0.0041   0.0041   0.0042   0.0017
Kicks_Kes_Kick                   8    0.0001   0.0003   0.0023   0.0028   0.0038   0.0038   0.0042   0.0022
Kicks_Loose_Kick                 8    0.0001   0.0002   0.0015   0.0021   0.0028   0.0028   0.0031   0.0016
Snares_Acoustic                  4    0.0132   0.0132   0.0143   0.0194   0.0194   0.0194   0.0210   0.0170
Snares_Ludwig_A                 32    0.0001   0.0026   0.0116   0.0428   0.0509   0.0548   0.0697   0.0227
Snares_Ludwig_B                 32    0.0001   0.0027   0.0137   0.0471   0.0573   0.0640   0.0760   0.0261
Snares_Ludwig_C                 32    0.0001   0.0026   0.0144   0.0471   0.0547   0.0580   0.0679   0.0249
Snares_Piccolo_Sidestick        14    0.0008   0.0010   0.0091   0.0107   0.0116   0.0166   0.0189   0.0077
Snares_Sonor_Force_3000         40    0.0001   0.0014   0.0039   0.0124   0.0167   0.0188   0.0241   0.0073
Snares_Tama_Wood                56    0.0016   0.0045   0.0096   0.0152   0.0186   0.0286   0.0435   0.0113
Snares_Wooden_Piccolo           20    0.0153   0.0181   0.0264   0.0413   0.0582   0.0780   0.0793   0.0344
samples_Cymbals                 12    0.0370   0.0463   0.0738   0.0809   0.1299   0.1497   0.1607   0.0826
samples_bass_melodies           12    0.0034   0.0085   0.0140   0.0176   0.0307   0.0683   0.1032   0.0250
samples_kicks__techno           27    0.0000   0.0002   0.0012   0.0029   0.0070   0.0111   0.0184   0.0030
samples_kit_acustic             28    0.0002   0.0031   0.0122   0.0381   0.0759   0.1235   0.1413   0.0329
samples_pads_melodies           25    0.0040   0.0048   0.0321   0.0690   0.1035   0.1040   0.1510   0.0432

### METRIC: transientDensity
Category                        n     min      p25      med      p75      p90      p95      max      mean
─────────────────────────────────────────────────────────────────────────────────────────────────────────
Hi_Hats_Acoustic                 6    0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.1500
Hi_Hats_Sabian_B8               29    0.1500   0.1500   0.1500   0.1500   0.3200   0.3200   0.4900   0.1910
Hi_Hats_Zildjian_K_Hats         27    0.1500   0.1500   0.1500   0.1500   0.3200   0.3200   0.3200   0.1878
Kicks_Acoustic                  20    0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.1500
Kicks_Kes_Kick                   8    0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.1500
Kicks_Loose_Kick                 8    0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.1500
Snares_Acoustic                  4    0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.1500
Snares_Ludwig_A                 32    0.1500   0.1500   0.1500   0.1500   0.3200   0.3200   0.3200   0.1766
Snares_Ludwig_B                 32    0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.1500   0.1500
Snares_Ludwig_C                 32    0.1500   0.1500   0.1500   0.1500   0.3200   0.3200   0.3200   0.1872
